N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
107,CJ대한통운,"131,000","2,000",+1.55%,"5,000","29,884","22,812",18.62,"74,033",54.58,1.59,
108,호텔신라,"76,000","1,300",+1.74%,"5,000","29,829","39,248",12.80,"185,146",112.26,4.51,
109,포스코인터내셔널,"23,750",400,+1.71%,"5,000","29,302","123,375",7.74,"348,670",8.12,10.86,
110,제일기획,"25,350",650,+2.63%,200,"29,163","115,041",31.50,"341,037",17.63,15.58,
111,한화시스템,"15,350",600,+4.07%,"5,000","28,999","188,919",3.18,"336,962",24.37,6.04,
112,롯데쇼핑,"101,500","3,900",+4.00%,"5,000","28,713","28,289",11.09,"227,091",-9.82,-2.94,
113,한전기술,"73,300","1,300",+1.81%,200,"28,015","38,220",2.03,"259,917",170.47,3.25,
114,현대해상,"31,000",300,-0.96%,500,"27,714","89,400",28.90,"333,950",6.41,8.82,
115,한솔케미칼,"243,000","15,000",+6.58%,"5,000","27,545","11,335",36.09,"150,927",18.57,23.88,
116,GS리테일,"26,200",250,+0.96%,"1,000","27,436","104,718",6.71,"232,017",2.92,25.58,
117,한화에어로스페이스,"52,900",700,+1.34%,"5,000","26,783","50,630",22.05,"185,923",10.60,9.21,
118,동서,"26,600",750,+2.90%,500,"26,520","99,700",2.89,"85,403",23.39,8.05,
119,에스원,"69,600",500,+0.72%,500,"26,447","37,999",53.03,"36,061",20.50,9.13,
120,대우조선해양,"24,150",600,+2.55%,"5,000","25,911","107,291",4.18,"294,616",-1.52,-55.86,
121,대우건설,"6,220",150,+2.47%,"5,000","25,852","415,623",11.29,"1,348,229",5.33,16.47,
122,만도,"54,700","2,200",+4.19%,"1,000","25,686","46,957",19.20,"317,040",15.37,9.31,
123,신세계,"255,000","1,000",+0.39%,"5,000","25,105","9,845",26.57,"51,675",8.18,8.54,
124,BNK금융지주,"7,680",150,+1.99%,"5,000","25,032","325,935",39.58,"1,030,012",3.16,8.76,
125,하이트진로,"35,500",800,+2.31%,"5,000","24,897","70,134",9.22,"209,135",35.25,6.62,
126,대한전선,"2,000",20,-0.99%,100,"24,889","1,244,473",1.84,"42,908,452",66.67,7.78,
127,OCI,"104,000","2,500",+2.46%,"5,000","24,803","23,849",15.15,"146,213",3.83,23.93,
128,CJ,"84,100",900,+1.08%,"5,000","24,538","29,177",17.59,"30,679",10.91,5.66,
129,두산퓨얼셀,"37,350",350,+0.95%,100,"24,462","65,494",14.30,"455,917",352.36,1.69,
130,키움증권,"85,800","2,600",+3.13%,"5,000","22,496","26,220",24.68,"86,462",2.61,25.38,
131,현대차우,"92,000","1,200",+1.32%,"5,000","22,408","24,357",57.16,"20,356",5.16,N/A,
132,SK케미칼,"127,000","4,500",+3.67%,"5,000","22,378","17,621",18.53,"57,517",14.90,11.19,
